"source_label","disaster_key","disaster_label","country_code","country","start_year","end_year","cumulative_growth","duration_years","is_venezuela","horizon_years_after_end","endpoint_year","horizon_index_start_100","horizon_years","horizon_label","fall_magnitude","horizon_ratio_to_start","total_years_from_start","horizon_cagr","post_disaster_ratio_to_end","post_disaster_cagr","highlight","reference_label","is_source_reference"
"FMI WEO (PIB per cápita)","imf_weo_NER_5","Niger (1988-1997)","NER","Niger",1988,1997,-0.202078241280027,9,FALSE,5,2002,81.3344305227252,5,"5 años después",0.202078241280027,0.813344305227252,14,-0.0146488433224939,1.01932839446817,0.00383613392541626,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_KWT_9","Kuwait (2012-2018)","KWT","Kuwait",2012,2018,-0.201614830678677,6,FALSE,5,2023,74.7631949443684,5,"5 años después",0.201614830678677,0.747631949443684,11,-0.0260939191384927,0.936430156987031,-0.0130501661387948,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_LBR_4","Liberia (2013-2020)","LBR","Liberia",2013,2020,-0.19801376718671,7,FALSE,5,2025,90.6520684489709,5,"5 años después",0.19801376718671,0.906520684489709,12,-0.00814510003246083,1.1303444465745,0.0248071835148203,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_CYP_8","Cyprus (2008-2014)","CYP","Cyprus",2008,2014,-0.195299664008198,6,FALSE,5,2019,101.982248407023,5,"5 años después",0.195299664008198,1.01982248407023,11,0.00178600910186866,1.26733199733698,0.0485232862732974,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_RUS_1","Russian Federation (1993-1996)","RUS","Russian Federation",1993,1996,-0.192659950548806,3,FALSE,5,2001,96.6447024302975,5,"5 años después",0.192659950548806,0.966447024302975,8,-0.00425701234160469,1.19707553831863,0.0366312844551393,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_GAB_8","Gabon (1998-2004)","GAB","Gabon",1998,2004,-0.191768428551858,6,FALSE,5,2009,70.8510877601099,5,"5 años después",0.191768428551858,0.708510877601099,11,-0.030840765151202,0.876618660579703,-0.0259928560879751,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_PAN_12","Panama (2019-2020)","PAN","Panama",2019,2020,-0.189526057490068,1,FALSE,5,2025,112.891194294538,5,"5 años después",0.189526057490068,1.12891194294538,6,0.0204146331159034,1.39290344048482,0.068523805556006,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_PAN_4","Panama (1986-1989)","PAN","Panama",1986,1989,-0.189447905029703,3,FALSE,5,1994,101.324787441485,5,"5 años después",0.189447905029703,1.01324787441485,8,0.00164646502944032,1.25007125476862,0.0456514734081648,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_GHA_1","Ghana (1981-1983)","GHA","Ghana",1981,1983,-0.189231529393707,2,FALSE,5,1988,101.388030817211,5,"5 años después",0.189231529393707,1.01388030817211,7,0.00197120583739907,1.25051768159402,0.0457261475833548,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_VEN_80","Venezuela (2001-2003)","VEN","Venezuela",2001,2003,-0.188975855520166,2,TRUE,5,2008,120.02958997818,5,"5 años después",0.188975855520166,1.2002958997818,7,0.0264242481526602,1.47997554444156,0.0815607239408322,"Venezuela","",FALSE
